"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id",Quantity,"Item Description",Asin,Hsn/sac,Sku,"Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Igst Tax","Utgst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax Amount","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Credit Note No","Credit Note Date"
07TCRPS8655B1ZK,IN-5,"2026-03-08 00:07:35",Shipment,406-0120907-7622716,A05193453RQIG3FF57NVA,"2026-03-08 13:34:40","2026-03-07 23:53:38",556012092046,1,"Royal Blue Stone Silver Oxidised Jhumka Earrings for Women   Dome Shape Beaded Ethnic Jewellery",B0GPN5XRX7,EXWD01,XF-7Y16-Q4BB,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,BHUBANESWAR,ODISHA,IN,751024,209,202.91,6.09,0,0,0,0.03,0,209,202.91,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.01,,MFN,PayStation,,
07TCRPS8655B1ZK,IN-5,"2026-03-08 00:07:35",Shipment,406-0120907-7622716,A05193453RQIG3FF57NVA,"2026-03-08 13:34:40","2026-03-07 23:53:38",556253056913,1,"Silver Plated Multicolor Hoop Jhumka Earrings with Beaded Drops for Women   Girls Traditional Jewellery",B0GQMY8NP1,EXWD01,OD-UE4E-HIY1,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,BHUBANESWAR,ODISHA,IN,751024,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,PayStation,,
07TCRPS8655B1ZK,IN-5,"2026-03-08 00:07:35",Shipment,406-0120907-7622716,A05193453RQIG3FF57NVA,"2026-03-08 13:34:40","2026-03-07 23:53:38",556322294848,1,"Emerald Green Beaded Silver Oxidised Jhumka Earrings for Women   Girls   Traditional Ethnic Jewellery",B0GPMZ8CPM,EXWD01,2A-JJ92-P3PF,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,BHUBANESWAR,ODISHA,IN,751024,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,PayStation,,
07TCRPS8655B1ZK,,"2026-03-12 19:15:27",Cancel,408-4473300-5420329,A10116182S53H8GPGEKXL,,,556794094160,1,,B0GPMZ8CPM,,2A-JJ92-P3PF,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,BHUBANESWAR,ODISHA,IN,751024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
07TCRPS8655B1ZK,IN-6,"2026-03-12 19:15:27",FreeReplacement,408-4473300-5420329,A10116182S53H8GPGEKXL,"2026-03-13 12:33:18","2026-03-12 19:00:30",556794094160,1,"Emerald Green Beaded Silver Oxidised Jhumka Earrings for Women   Girls   Traditional Ethnic Jewellery",B0GPMZ8CPM,EXWD01,2A-JJ92-P3PF,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,BHUBANESWAR,ODISHA,IN,751024,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MFN,GC,,
07TCRPS8655B1ZK,IN-8,"2026-03-24 18:41:50",Shipment,405-1265502-4713963,A05367211ZILS0WEMU04W,"2026-03-25 12:35:42","2026-03-24 18:28:32",557549189734,1,"Traditional Rajwadi Antique Gold Plated Dome Jhumka Earrings with maroon Beads for Women   Girls",B0GQN5ZZMQ,EXW20,EX-Q7XY-02GH,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,NOIDA,"UTTAR PRADESH",IN,201304,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,COD,,
07TCRPS8655B1ZK,IN-7,"2026-03-23 18:19:10",Shipment,403-2167286-9808333,A060606439D4UZL0CDA7F,"2026-03-25 12:36:02","2026-03-23 18:03:55",557586609854,1,"Traditional Rajwadi Antique Gold Plated Dome Jhumka Earrings with maroon Beads for Women   Girls",B0GQN5ZZMQ,EXW20,EX-Q7XY-02GH,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,BENGALURU,KARNATAKA,IN,560037,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,CC,,
07TCRPS8655B1ZK,,"2026-03-25 23:29:29",Cancel,171-2743720-7693914,A00363042HXKNZI6VLGQ5,,,557156639146,1,,B0GQN51Y2L,,87-FY9G-0PO2,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,GURUGRAM,HARYANA,IN,122101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
07TCRPS8655B1ZK,IN-9,"2026-03-25 23:29:29",Shipment,171-2743720-7693914,A00363042HXKNZI6VLGQ5,"2026-03-26 12:37:30","2026-03-25 23:14:43",557156639146,1,"Royal Pink Meenakari Mandala Stud Gold Plated Dome Jhumka Earrings with Stone Work and Beaded Drops for Women   Girls Traditional Wedding Festive Jewe",B0GQN51Y2L,EXWD01,87-FY9G-0PO2,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,GURUGRAM,HARYANA,IN,122101,199,193.2,5.8,0,0,0,0.03,0,199,193.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.97,,MFN,COD,,
07TCRPS8655B1ZK,IN-9,"2026-03-25 23:29:29",Refund,171-2743720-7693914,A00363042HXKNZI6VLGQ5,"2026-03-26 12:37:30","2026-03-25 23:14:43",557156639146,1,"Royal Pink Meenakari Mandala Stud Gold Plated Dome Jhumka Earrings with Stone Work and Beaded Drops for Women   Girls Traditional Wedding Festive Jewe",B0GQN51Y2L,EXWD01,87-FY9G-0PO2,A_GEN_JEWELLERY,"South West Delhi",DELHI,IN,110043,"NEW DELHI",DELHI,IN,110043,GURUGRAM,HARYANA,IN,122101,-199,-193.2,-5.8,0,0,0,0.03,0,199,-193.2,0,0,-5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,-0.97,,MFN,COD,CN-2,"2026-03-30 08:00:25"
